,datadate,prccddiv
0,2000-01-03,2002.113157
1,2000-01-04,1925.407357
2,2000-01-05,1929.277654
3,2000-01-06,1931.506744
4,2000-01-07,1983.832004
5,2000-01-10,2006.069552
6,2000-01-11,1979.924311
7,2000-01-12,1971.359448
8,2000-01-13,1995.350228
9,2000-01-14,2016.64325
10,2000-01-18,2002.884682
11,2000-01-19,2004.020229
12,2000-01-20,1989.806675
13,2000-01-21,1984.01167
14,2000-01-24,1929.201379
15,2000-01-25,1940.901601
16,2000-01-26,1932.783023
17,2000-01-27,1925.307046
18,2000-01-28,1872.612201
19,2000-01-31,1919.840534
20,2000-02-01,1940.244157
21,2000-02-02,1940.211115
22,2000-02-03,1962.208399
23,2000-02-04,1961.442777
24,2000-02-07,1961.299563
25,2000-02-08,1985.492192
26,2000-02-09,1944.572368
27,2000-02-10,1951.647046
28,2000-02-11,1910.919261
29,2000-02-14,1914.87853
30,2000-02-15,1931.578645
31,2000-02-16,1912.120269
32,2000-02-17,1912.956676
33,2000-02-18,1854.851164
34,2000-02-22,1863.2622
35,2000-02-23,1875.162429
36,2000-02-24,1865.204302
37,2000-02-25,1837.696801
38,2000-02-28,1858.167874
39,2000-02-29,1883.498946
40,2000-03-01,1901.506608
41,2000-03-02,1905.087125
42,2000-03-03,1942.886648
43,2000-03-06,1918.442871
44,2000-03-07,1869.326277
45,2000-03-08,1884.809078
46,2000-03-09,1933.107742
47,2000-03-10,1923.977925
48,2000-03-13,1908.419999
49,2000-03-14,1874.686584
50,2000-03-15,1920.279613
51,2000-03-16,2012.029294
52,2000-03-17,2020.3121
53,2000-03-20,2009.528144
54,2000-03-21,2060.903461
55,2000-03-22,2070.272145
56,2000-03-23,2107.125207
57,2000-03-24,2107.276963
58,2000-03-27,2102.310419
59,2000-03-28,2080.079617
60,2000-03-29,2081.445431
61,2000-03-30,2053.05067
62,2000-03-31,2067.759471
63,2000-04-03,2077.971464
64,2000-04-04,2062.527109
65,2000-04-05,2052.516181
66,2000-04-06,2072.154441
67,2000-04-07,2092.872673
68,2000-04-10,2076.462044
69,2000-04-11,2071.215888
70,2000-04-12,2025.22951
71,2000-04-13,1988.431751
72,2000-04-14,1872.549983
73,2000-04-17,1934.500831
74,2000-04-18,1990.038497
75,2000-04-19,1970.577226
76,2000-04-20,1980.357845
77,2000-04-24,1973.912371
78,2000-04-25,2039.596249
79,2000-04-26,2017.041747
80,2000-04-27,2022.680115
81,2000-04-28,2005.549219
82,2000-05-01,2027.395224
83,2000-05-02,1997.093036
84,2000-05-03,1954.227664
85,2000-05-04,1946.650215
86,2000-05-05,1978.518729
87,2000-05-08,1967.011907
88,2000-05-09,1950.495951
89,2000-05-10,1910.792377
90,2000-05-11,1945.377435
91,2000-05-12,1963.591555
92,2000-05-15,2007.03085
93,2000-05-16,2025.956108
94,2000-05-17,2000.939135
95,2000-05-18,1986.401299
96,2000-05-19,1944.650121
97,2000-05-22,1936.039175
98,2000-05-23,1898.938853
99,2000-05-24,1933.851651
100,2000-05-25,1909.66762
101,2000-05-26,1904.981641
102,2000-05-30,1966.588517
103,2000-05-31,1964.401345
104,2000-06-01,2003.445999
105,2000-06-02,2042.788661
106,2000-06-05,2029.498352
107,2000-06-06,2015.983851
108,2000-06-07,2034.911011
109,2000-06-08,2021.556631
110,2000-06-09,2015.028654
111,2000-06-12,1999.920262
112,2000-06-13,2032.578711
113,2000-06-14,2034.191561
114,2000-06-15,2045.523519
115,2000-06-16,2025.998274
116,2000-06-19,2055.835009
117,2000-06-20,2041.939446
118,2000-06-21,2046.351347
119,2000-06-22,2009.134268
120,2000-06-23,1994.3305
121,2000-06-26,2013.464716
122,2000-06-27,2006.879115
123,2000-06-28,2013.078712
124,2000-06-29,1995.894163
125,2000-06-30,2012.829769
126,2000-07-03,2033.576612
127,2000-07-05,2001.708656
128,2000-07-06,2016.4132
129,2000-07-07,2047.185348
130,2000-07-10,2042.644968
131,2000-07-11,2049.994016
132,2000-07-12,2066.785672
133,2000-07-13,2070.858552
134,2000-07-14,2090.436903
135,2000-07-17,2091.142954
136,2000-07-18,2067.973408
137,2000-07-19,2051.759003
138,2000-07-20,2070.607452
139,2000-07-21,2049.313937
140,2000-07-24,2027.411244
141,2000-07-25,2041.508931
142,2000-07-26,2011.009593
143,2000-07-27,2007.293347
144,2000-07-28,1966.199512
145,2000-07-31,1981.361193
146,2000-08-01,1991.428423
147,2000-08-02,1992.408836
148,2000-08-03,2011.795596
